guild_id,user_id,channel_id,joined_at,left_at,duration_seconds
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-18T12:35:19.894977+00:00,2025-12-18T12:35:57.243361+00:00,37
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-18T13:01:36.102692+00:00,2025-12-18T13:03:31.558416+00:00,115
1399126688943570974,298130008218796034,1399493915131904123,2025-12-18T13:53:13.535347+00:00,2025-12-18T14:16:52.337178+00:00,1418
1399126688943570974,461240029340237824,1399493915131904123,2025-12-18T13:52:50.120618+00:00,2025-12-18T14:50:23.530703+00:00,3453
1399126688943570974,823104418807414794,1399493915131904123,2025-12-18T14:31:25.528014+00:00,2025-12-18T14:56:05.227144+00:00,1479
1399126688943570974,623904576671711273,1399493915131904123,2025-12-18T14:51:58.942251+00:00,2025-12-18T15:19:37.119746+00:00,1658
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-18T14:49:56.402779+00:00,2025-12-18T15:20:47.375916+00:00,1850
1399126688943570974,499625557831581710,1399493915131904123,2025-12-18T15:22:01.122497+00:00,2025-12-18T15:22:08.830359+00:00,7
1399126688943570974,175482097803329546,1399493915131904123,2025-12-18T15:20:00.670544+00:00,2025-12-18T15:24:46.757823+00:00,286
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-18T15:26:35.837355+00:00,2025-12-18T15:34:57.527858+00:00,501
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-18T15:39:06.888142+00:00,2025-12-18T15:41:16.993253+00:00,130
1399126688943570974,499625557831581710,1399493915131904123,2025-12-18T15:22:18.951321+00:00,2025-12-18T15:42:33.365943+00:00,1214
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-18T15:42:52.728241+00:00,2025-12-18T15:45:22.634305+00:00,149
1399126688943570974,623904576671711273,1399493915131904123,2025-12-18T15:19:38.427611+00:00,2025-12-18T15:54:57.349387+00:00,2118
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-18T15:46:23.490027+00:00,2025-12-18T15:58:53.861129+00:00,750
1399126688943570974,461240029340237824,1399493915131904123,2025-12-18T15:14:53.781704+00:00,2025-12-18T16:03:54.330849+00:00,2940
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-18T14:40:10.757583+00:00,2025-12-18T16:03:54.394641+00:00,5023
1399126688943570974,298130008218796034,1399493915131904123,2025-12-18T16:01:19.079072+00:00,2025-12-18T16:03:54.618843+00:00,155
1399126688943570974,962835349250375710,1399493915131904123,2025-12-18T16:20:25.016642+00:00,2025-12-18T16:22:49.417257+00:00,144
1415307993532072016,1384896403796660297,1415333924850241536,2025-12-18T18:49:15.535924+00:00,2025-12-18T18:59:32.788438+00:00,617
1415307993532072016,1316778370494759003,1415333924850241536,2025-12-18T18:52:46.425774+00:00,2025-12-18T18:59:34.969552+00:00,408
